1712020|21|14,16,26|12,12.5,23|-|1,0,6|17,5,5|9|52|47|9,2.79
2012001|22|22,16.5,37|17.5,17.5,32|23,23,37|28,25,39|21,22,32|58|48|59|19.5,3.77
2012002|22|23,16.5,37|19.5,22.5,29|19.5,24,21|22,21,34|22,12,30|55|54|51|19.5,3.50
2012003|23|25,21,38|25,22,34|12.5,16,33|21,16,36|23,23,34|58|48|65|19.5,3.73
2012005|20|24.5,15,36|19,23,31|23.5,19,34|24,23,36|23,17,30|55|50|62|19.5,3.71
2012006|18|21,24.5,35|22.5,16.5,29|10.5,21.5,32|24,23,36|24,17,32|55|53|48|19.5,3.52
2012007|21|24,24.5,35|24.5,24,31|13.5,24,32|22,19,36|20,19,30|50|51|60|19.5,3.69
2012008|16|10.5,8,25|12,7,24|0,7,22|15,9,24|6,1,21|53|47|44|13.5,2.42
2012009|22|24,21,35|23,18.5,30|15,15,18|18,15,31|18.5,20,23|60|44|50|19.5,3.25
2012011|23|27,22,38|24,28,34|23.5,23.5,31|30,19,37|26,23,34|68|52|62|19.5,3.94
2012012|22|24,17.5,36|23,15,30|12,21,31|23,13,37|19,15,30|55|47|58|19.5,3.38
2012013|21|20,16,35|26,19,28|10.5,20,25|17,18,32|25,23,29|55|47|47|19.5,3.37
2012014|21|25,25.5,36|22.5,22,28|16,28.5,33|28,21,36|25,20,31|63|43|54|19.5,3.75
2012015|20|22,22.5,37|23.5,21.5,32|27,26,38|25,21,38|26,20,32|60|49|55|19.5,3.85
2012016|20|24,20.5,35|25,20.5,32|17,19,37|26,20,37|27,24,32|55|44|56|19.5,3.77
2012017|22|24,13,37|25.5,16,28|9,17,23|19,7,33|16,15,28|53|48|62|19.5,3.13
2012019|20|22,7.5,32|18,15.5,24|10,9.5,25|17,4,32|11,16,27|53|47|48|19.5,2.77
2012020|20|27,15,38|27,20.5,33|11,14.5,32|24,15,36|26,21,32|60|50|60|19.5,3.69
2012021|20|25,13.5,35|22.5,21.5,29|8,22,31|18,12,33|16,12,29|60|53|53|19.5,3.27
2012023|18|22,20,35|19.5,19,26|16.5,17,27|29,16,37|23,20,27|51|50|57|19.5,3.48
2012024|21|24,22.5,32|27,26,31|21.5,23.5,20|20,20,27|-|56|47|52|16.5,3.55
2012025|22|20,8.5,32|18.5,14,23|8,12.5,23|18,8,30|17,7,21|53|45|58|19.5,2.81
2012026|22|22,19,36|24.5,23,33|16.5,23.5,27|27,16,39|24,21,28|63|53|61|19.5,3.75
2012027|20|23,16.5,37|18.5,22.5,31|25.5,25.5,32|30,19,37|25,21,31|63|49|50|19.5,3.75
2012028|18|22.5,15,34|20,16.5,30|14,19,29|29,13,38|21,12,30|63|47|55|19.5,3.40
2012029|21|20,11.5,37|25,19,29|20,22,24|24,18,36|16,17,31|47|44|54|19.5,3.37
2012030|23|24.5,25.5,35|24,25,30|21,22,25|21,12,34|22,24,27|55|52|54|19.5,3.60
1612016|21|23.5,24,35|24,23,28|20.5,29,26|16,16,27|25,22,22|59|50|52|19.5,3.54
1612023|-|25,24.5,34|23.5,20.5,32|20,27.5,32|19,20,30|26,23,27|-|-|-|15,3.75
